DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\db\models\enums.py first seen with mtime 1727866487.9807143
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1727866488.018364
DEBUG 2024-11-25 03:43:42,062 autoreload File C:\Python312\Lib\site-packages\django\core\__init__.py first seen with mtime 1727866487.8202171
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\core\__init__.py first seen with mtime 1730361828.6984785
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\rest_framework\mixins.py first seen with mtime 1727866912.2624607
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\django\views\static.py first seen with mtime 1727866488.1590357
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1727866486.3432405
DEBUG 2024-11-25 03:43:42,063 autoreload File C:\Python312\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1727866487.832564
DEBUG 2024-11-25 03:43:42,064 autoreload File C:\Python312\Lib\types.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,064 autoreload File C:\Python312\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1727866912.2505922
DEBUG 2024-11-25 03:43:42,064 autoreload File C:\Python312\Lib\site-packages\PyPDF2\_cmap.py first seen with mtime 1732432751.2497194
DEBUG 2024-11-25 03:43:42,064 autoreload File C:\Python312\DLLs\_overlapped.pyd first seen with mtime 1707282652.0
DEBUG 2024-11-25 03:43:42,065 autoreload File C:\Python312\Lib\site-packages\django\forms\formsets.py first seen with mtime 1727866488.0268729
DEBUG 2024-11-25 03:43:42,065 autoreload File C:\Python312\Lib\site-packages\django\db\models\signals.py first seen with mtime 1727866487.9914184
DEBUG 2024-11-25 03:43:42,065 autoreload File C:\Python312\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1727866488.1692789
DEBUG 2024-11-25 03:43:42,065 autoreload File C:\Python312\Lib\tokenize.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,066 autoreload File C:\Python312\Lib\site-packages\rest_framework\fields.py first seen with mtime 1727866912.258013
DEBUG 2024-11-25 03:43:42,066 autoreload File C:\Python312\Lib\threading.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,066 autoreload File C:\Python312\Lib\site-packages\django\template\autoreload.py first seen with mtime 1727866488.0900528
DEBUG 2024-11-25 03:43:42,066 autoreload File C:\Python312\Lib\wsgiref\__init__.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,066 autoreload File C:\Python312\Lib\site-packages\django\middleware\cache.py first seen with mtime 1727866488.0850523
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1727866487.8171625
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\site-packages\django\contrib\admindocs\__init__.py first seen with mtime 1727866486.1085553
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\site-packages\django\forms\widgets.py first seen with mtime 1727866488.0288706
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\email\iterators.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1727866334.4355397
DEBUG 2024-11-25 03:43:42,067 autoreload File C:\Python312\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1727866486.1035514
DEBUG 2024-11-25 03:43:42,068 autoreload File C:\Python312\Lib\gettext.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,068 autoreload File C:\Python312\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1727866487.9731395
DEBUG 2024-11-25 03:43:42,068 autoreload File C:\Python312\Lib\importlib\_abc.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,068 autoreload File C:\Python312\Lib\asyncio\streams.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,070 autoreload File C:\Python312\Lib\ctypes\_endian.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,070 autoreload File C:\Python312\Lib\email\_parseaddr.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,070 autoreload File C:\Python312\Lib\site-packages\PyPDF2\__init__.py first seen with mtime 1732432751.2497194
DEBUG 2024-11-25 03:43:42,071 autoreload File C:\Python312\DLLs\unicodedata.pyd first seen with mtime 1707282652.0
DEBUG 2024-11-25 03:43:42,071 autoreload File C:\Python312\Lib\site-packages\django\utils\tree.py first seen with mtime 1727866488.147382
DEBUG 2024-11-25 03:43:42,071 autoreload File C:\Python312\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1727866488.129523
DEBUG 2024-11-25 03:43:42,071 autoreload File C:\Python312\Lib\site-packages\django\contrib\messages\__init__.py first seen with mtime 1727866487.2082782
DEBUG 2024-11-25 03:43:42,072 autoreload File C:\Python312\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1727866486.5054233
DEBUG 2024-11-25 03:43:42,072 autoreload File C:\Python312\Lib\email\utils.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,072 autoreload File C:\Python312\Lib\site-packages\rest_framework\schemas\coreapi.py first seen with mtime 1727866912.3568735
DEBUG 2024-11-25 03:43:42,073 autoreload File C:\Users\Brix Daomilas\Desktop\upps_web\UPPS-WEBSITE\server\my_upps_project\api\utils\email_utls.py first seen with mtime 1732153843.515824
DEBUG 2024-11-25 03:43:42,073 autoreload File C:\Python312\Lib\asyncio\selector_events.py first seen with mtime 1707282618.0
DEBUG 2024-11-25 03:43:42,074 autoreload File C:\Python312\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1727866487.9731395
DEBUG 2024-11-25 03:43:42,076 autoreload File C:\Python312\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1727866488.163269
DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1727866487.8505657
DEBUG 2024-11-25 03:43:42,077 autoreload File C:\Python312\Lib\site-packages\django\template\backends\django.py first seen with mtime 1727866488.1015499
